image_name,component,area,perimeter,num_projections,num_projections_v2,projection_lengths,avg_projection_length,max_projection_length,circularity,neighbors,length_width_ratio,fractal_dim,mask
r02c06f06p01-ch1sk1fk1fl1.tiff,124,135,67.84061968326569,2,3,"[1.5, 0.0, 2.914213538169861]",1.4714045127232869,2.914213538169861,0.36860737476679417,3,1.3076923076923077,1.1131676943956017,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,125,91,35.79898941516876,0,0,[],0.0,0.0,0.8922975950752771,8,1.1818181818181819,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,126,104,51.11269772052765,0,0,[],0.0,0.0,0.5002482709300957,0,1.0714285714285714,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,127,107,58.76955199241638,0,0,[],0.0,0.0,0.3893040139908958,4,1.5454545454545454,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,128,94,50.28427076339722,0,0,[],0.0,0.0,0.46716834232298876,1,1.5833333333333333,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,129,88,52.5269113779068,0,0,[],0.0,0.0,0.40080100952894093,7,1.6666666666666667,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,130,94,59.840619683265686,0,0,[],0.0,0.0,0.3298720756162114,4,1.0714285714285714,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,131,42,23.55634891986847,0,0,[],0.0,0.0,0.951137264912015,0,1.125,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,132,98,55.35533845424652,0,0,[],0.0,0.0,0.4018989936772652,5,1.0714285714285714,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,133,191,94.32590091228485,0,0,[],0.0,0.0,0.26976233215912704,0,3.4,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,134,29,17.656854152679443,0,0,[],0.0,0.0,1.1689103457549994,0,1.0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,135,101,41.455843567848206,0,0,[],0.0,0.0,0.7385156859777752,2,1.2727272727272727,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,136,114,44.62741661071777,0,0,[],0.0,0.0,0.7193019224917762,2,1.25,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,137,147,76.42640614509583,0,0,[],0.0,0.0,0.3162571281761318,1,1.0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,138,137,79.63960921764374,0,0,[],0.0,0.0,0.27143896490796343,3,1.1333333333333333,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,139,35,21.899494767189026,0,0,[],0.0,0.0,0.9170852685080773,0,1.0,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,140,98,37.79898941516876,0,0,[],0.0,0.0,0.8619370758820557,3,1.0833333333333333,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
r02c06f06p01-ch1sk1fk1fl1.tiff,141,164,81.84061968326569,0,0,[],0.0,0.0,0.30769177973303913,2,1.1578947368421053,0.0,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
