num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
17.976,17.976,121.427,37,49,5.300,1081.061,0.163,250.126,1288.0701900720596,8.903,0.056,6.755,0.699,32.182,0.481,2.347,2.306,48.108,7,16,r02c07f06p01-ch2sk1fk1fl1.tiff
16.916,16.916,154.359,78,32,6.284,1255.750,0.087,294.503,2683.7526383399963,8.135,0.059,9.125,0.782,65.117,0.232,3.219,1.312,50.742,4,29,r04c08f07p01-ch2sk1fk1fl1.tiff
21.763,21.763,130.579,21,24,8.359,907.208,0.240,298.989,949.653889298439,6.948,0.046,6.000,0.377,43.925,0.439,1.875,0.667,60.087,2,6,r03c03f08p01-ch2sk1fk1fl1.tiff
17.690,17.690,190.611,59,40,8.443,1546.150,0.177,389.012,1690.4103709459305,8.112,0.057,10.775,0.388,82.490,0.296,3.625,2.450,67.642,6,20,r02c08f03p01-ch2sk1fk1fl1.tiff
14.892,14.892,125.592,38,30,6.824,966.433,0.195,275.968,1146.111820101738,7.695,0.067,8.433,0.366,34.551,0.511,2.267,1.133,57.720,4,9,r03c10f07p01-ch2sk1fk1fl1.tiff
17.736,17.736,145.582,44,48,6.521,1113.354,0.161,289.537,1688.403231024742,7.648,0.056,8.208,0.629,50.530,0.545,2.792,1.500,48.487,6,15,r04c07f02p01-ch2sk1fk1fl1.tiff
18.222,18.222,116.525,23,38,6.973,790.737,0.202,252.288,1249.04789185524,6.786,0.055,6.395,0.652,57.206,0.497,2.237,1.974,48.301,8,9,r03c05f04p01-ch2sk1fk1fl1.tiff
19.630,19.630,117.780,39,30,7.561,800.133,0.075,261.556,2628.473426103592,6.793,0.051,6.000,0.575,105.890,0.434,1.933,2.400,41.879,7,17,r03c03f07p01-ch2sk1fk1fl1.tiff
15.971,15.971,135.513,95,33,6.958,1038.455,0.086,286.681,2645.6277465820312,7.663,0.063,8.485,0.473,77.569,0.404,2.515,1.879,40.591,5,27,r03c10f08p01-ch2sk1fk1fl1.tiff
18.886,18.886,162.849,38,53,6.692,1412.849,0.164,320.917,1235.3250237703323,8.676,0.053,8.623,0.296,24.268,0.449,3.245,1.245,69.596,3,15,r02c06f01p01-ch2sk1fk1fl1.tiff
18.586,18.586,155.883,25,31,9.118,1071.065,0.265,334.390,877.2173776626587,6.871,0.054,8.387,0.220,36.217,0.612,2.871,0.968,54.989,2,10,r03c04f03p01-ch2sk1fk1fl1.tiff
19.357,19.357,244.385,45,32,9.928,2018.594,0.214,485.533,1995.0621730089188,8.260,0.052,12.625,0.226,55.099,0.549,4.594,1.000,86.848,4,18,r02c07f09p01-ch2sk1fk1fl1.tiff
17.137,17.137,182.488,76,37,7.501,1443.892,0.110,354.736,2820.372915148735,7.912,0.058,10.649,0.799,111.152,0.504,3.486,2.054,66.543,4,23,r04c08f08p01-ch2sk1fk1fl1.tiff
17.369,17.369,225.793,90,37,8.500,1948.541,0.177,431.358,2180.6845355033875,8.630,0.058,13.000,0.584,71.966,0.234,4.000,1.405,71.216,4,29,r04c06f05p01-ch2sk1fk1fl1.tiff
16.650,16.650,269.572,118,42,8.505,2590.000,0.111,478.452,2988.120168089866,9.608,0.060,16.190,0.423,77.250,0.493,5.476,1.786,95.560,7,42,r02c09f04p01-ch2sk1fk1fl1.tiff
14.349,14.349,179.182,82,39,7.670,1322.282,0.133,345.936,1928.2337460517883,7.380,0.070,12.487,0.350,58.034,0.363,3.821,0.974,72.380,3,29,r02c06f04p01-ch2sk1fk1fl1.tiff
18.547,18.547,149.384,53,55,6.325,1270.200,0.092,288.521,1659.398177742958,8.503,0.054,8.055,0.399,19.960,0.702,3.182,1.364,63.010,5,24,r04c09f05p01-ch2sk1fk1fl1.tiff
16.955,16.955,135.641,24,31,6.881,1089.516,0.172,291.431,1423.6681689023972,8.032,0.059,8.000,0.436,35.794,0.542,2.032,0.968,43.049,3,10,r04c07f08p01-ch2sk1fk1fl1.tiff
22.634,22.634,133.460,22,29,7.503,966.552,0.249,293.542,937.6193993091584,7.242,0.044,5.897,0.264,32.448,0.671,2.483,0.655,59.595,2,10,r03c03f02p01-ch2sk1fk1fl1.tiff
16.613,16.613,261.274,76,33,9.428,2332.545,0.143,504.348,2232.081506967545,8.928,0.060,15.727,0.408,55.799,0.519,4.606,1.758,87.667,5,25,r02c08f09p01-ch2sk1fk1fl1.tiff
15.595,15.595,210.989,107,51,7.623,1917.235,0.119,387.512,2614.792180776596,9.087,0.064,13.529,0.641,64.827,0.193,4.294,1.882,75.842,4,36,r02c09f01p01-ch2sk1fk1fl1.tiff
15.063,15.063,158.942,81,58,5.825,1417.793,0.138,302.931,1826.5941350460048,8.920,0.066,10.552,0.596,34.357,0.308,3.741,3.707,57.893,10,31,r03c11f05p01-ch2sk1fk1fl1.tiff
18.377,18.377,163.643,31,21,9.717,1077.762,0.230,351.174,1237.7686723470688,6.586,0.054,8.905,0.199,50.208,0.692,2.905,0.476,57.725,1,13,r03c04f06p01-ch2sk1fk1fl1.tiff
21.423,21.423,137.466,20,24,6.648,1169.750,0.240,304.456,1146.8986179828644,8.509,0.047,6.417,0.378,29.586,0.561,1.833,0.708,44.612,3,6,r02c05f01p01-ch2sk1fk1fl1.tiff
17.818,17.818,139.378,35,45,7.293,965.267,0.210,281.117,891.7615340948105,6.926,0.056,7.822,0.442,21.018,0.769,3.067,0.756,60.291,4,13,r04c02f01p01-ch2sk1fk1fl1.tiff
14.203,14.203,77.899,27,33,5.131,533.818,0.160,178.624,858.8914769887924,6.853,0.070,5.485,0.755,25.985,0.643,1.818,1.152,31.825,3,9,r02c10f02p01-ch2sk1fk1fl1.tiff
16.691,16.691,123.222,36,34,5.575,1019.853,0.202,250.193,1101.626538157463,8.277,0.060,7.382,0.754,36.876,0.255,2.412,1.353,51.070,4,14,r03c08f06p01-ch2sk1fk1fl1.tiff
19.756,19.756,137.674,60,32,6.734,1100.719,0.124,291.814,1967.5302101373672,7.995,0.051,6.969,0.299,52.508,0.428,2.500,1.906,58.823,5,23,r02c02f05p01-ch2sk1fk1fl1.tiff
21.632,21.632,121.619,38,45,6.955,904.133,0.090,267.091,2272.3657759428024,7.434,0.046,5.622,0.427,56.330,0.657,2.044,1.556,51.904,5,15,r04c05f05p01-ch2sk1fk1fl1.tiff
20.610,20.610,90.367,22,26,4.878,668.500,0.196,191.226,813.7787779569626,7.398,0.049,4.385,1.207,27.576,0.599,1.462,1.538,26.473,3,7,r04c03f09p01-ch2sk1fk1fl1.tiff
16.421,16.421,131.370,39,52,6.161,1107.865,0.123,277.664,1661.4742984771729,8.433,0.061,8.000,0.751,40.368,0.394,2.865,2.923,56.389,10,15,r04c10f06p01-ch2sk1fk1fl1.tiff
22.415,22.415,211.861,41,31,10.263,1648.548,0.186,447.110,2447.609294295311,7.781,0.045,9.452,0.485,134.444,0.456,3.032,1.258,94.451,3,18,r03c07f03p01-ch2sk1fk1fl1.tiff
20.427,20.427,245.124,85,19,12.579,1671.684,0.110,495.813,3533.482648134232,6.820,0.049,12.000,0.270,218.634,0.839,4.474,0.421,94.780,2,34,r02c04f09p01-ch2sk1fk1fl1.tiff
15.502,15.502,224.450,112,48,7.348,2042.688,0.103,408.298,2751.3851066827774,9.101,0.065,14.479,0.894,71.330,0.242,4.604,3.083,76.912,8,40,r03c08f03p01-ch2sk1fk1fl1.tiff
19.723,19.723,214.407,61,31,10.198,1636.000,0.117,424.368,2004.8956520557404,7.630,0.051,10.871,0.154,57.934,0.652,3.774,1.387,87.133,3,25,r02c03f08p01-ch2sk1fk1fl1.tiff
15.011,15.011,140.646,60,46,6.581,1177.978,0.112,291.945,2007.530209064484,8.376,0.067,9.370,0.640,54.157,0.508,2.804,2.370,56.855,7,20,r02c10f07p01-ch2sk1fk1fl1.tiff
18.088,18.088,92.609,17,25,5.581,662.160,0.352,207.781,498.01428163051605,7.150,0.055,5.120,0.363,17.836,0.327,1.560,1.200,29.207,4,6,r04c04f08p01-ch2sk1fk1fl1.tiff
18.442,18.442,170.588,57,40,8.464,1348.425,0.167,365.517,2077.22869515419,7.905,0.054,9.250,0.577,132.302,0.277,3.175,1.925,66.752,7,20,r04c02f04p01-ch2sk1fk1fl1.tiff
20.028,20.028,147.476,33,33,7.702,1073.000,0.225,308.421,980.364565372467,7.276,0.050,7.364,0.404,27.337,0.673,2.545,0.970,58.541,3,9,r02c05f04p01-ch2sk1fk1fl1.tiff
22.530,22.530,242.396,60,29,9.475,2113.172,0.108,485.907,4009.129398465157,8.718,0.044,10.759,0.283,139.854,0.663,3.966,1.069,97.727,3,22,r03c07f06p01-ch2sk1fk1fl1.tiff
13.900,13.900,146.823,49,48,7.778,1081.542,0.138,310.423,1970.3098665475843,7.366,0.072,10.562,0.337,48.612,0.647,3.062,1.333,59.119,4,16,r04c10f03p01-ch2sk1fk1fl1.tiff
21.404,21.404,160.528,36,28,8.935,1203.179,0.195,348.547,1496.7047469615936,7.495,0.047,7.500,0.292,65.892,0.540,2.893,0.929,63.699,3,14,r02c04f03p01-ch2sk1fk1fl1.tiff
17.408,17.408,174.082,119,42,7.497,1425.595,0.070,343.639,3350.95573925972,8.189,0.057,10.000,0.393,66.269,0.413,3.143,2.000,61.091,5,41,r03c07f09p01-ch2sk1fk1fl1.tiff
18.702,18.702,133.944,39,37,7.194,998.568,0.180,288.752,1623.8418292999268,7.455,0.053,7.162,0.232,55.280,0.626,2.432,1.000,54.879,3,11,r04c03f03p01-ch2sk1fk1fl1.tiff
