object_label,num_nodes,num_branches,num_projections,branch_lengths,total_skeleton_length,area,fractal_dim,perimeter,circularity,roundness,projection_lengths,avg_projection_length,max_projection_length,neighbors,length_width_ratio,file_name
16,27,19,4,"[38.04163056034262, 9.071067811865476, 1.4142135623730951, 2.0, 9.485281374238571, 9.414213562373096, 5.0, 2.0, 1.4142135623730951, 4.414213562373095, 8.414213562373096, 8.242640687119284, 19.89949493661167, 2.0, 1.4142135623730951, 13.242640687119284, 13.414213562373096, 11.65685424949238, 17.414213562373096]",177.95331880577405,667.0,1.3869478608567445,330.19090509414673,0.07687860327583278,13.007520394356016,"[8.742640614509583, 6.914213538169861, 16.727921843528748, 41.248736917972565]",18.40837822854519,41.248736917972565,0,1.48,r03c04f06p01-ch2sk1fk1fl1.tiff
17,30,21,6,"[40.242640687119284, 44.62741699796952, 40.38477631085023, 25.72792206135786, 39.97056274847714, 11.899494936611667, 22.899494936611667, 12.485281374238571, 1.0, 16.242640687119287, 32.071067811865476, 27.62741699796953, 2.0, 2.0, 1.4142135623730951, 45.727922061357845, 1.4142135623730951, 2.0, 70.15432893255065, 17.48528137423857, 10.242640687119284]",467.6173157302028,3504.0,-1.0,938.1879410743713,0.05002582604104146,19.989674916703915,"[14.778174459934235, 96.78174459934235, 8.949747383594513, 79.44112491607666, 37.2634556889534, 37.05634891986847]",45.71176599462827,96.78174459934235,0,1.6929824561403508,r03c04f06p01-ch2sk1fk1fl1.tiff
18,22,16,4,"[8.82842712474619, 3.82842712474619, 7.82842712474619, 4.0, 21.656854249492383, 3.414213562373095, 2.0, 1.4142135623730951, 1.4142135623730951, 2.0, 15.313708498984763, 11.242640687119286, 24.656854249492383, 2.0, 1.4142135623730951, 1.4142135623730951]",112.42640687119285,578.0,1.2034353988376625,277.32084810733795,0.09444362824809742,10.588326799273991,"[11.863960921764374, 10.035533845424652, 0.5, 6.328427076339722]",7.181980460882187,11.863960921764374,0,1.7692307692307692,r03c04f06p01-ch2sk1fk1fl1.tiff
19,46,31,13,"[20.242640687119284, 17.414213562373096, 25.798989873223338, 51.4558441227157, 2.414213562373095, 13.242640687119287, 9.414213562373096, 10.828427124746192, 43.48528137423857, 50.84062043356593, 42.8700576850888, 8.0, 30.142135623730955, 14.313708498984763, 22.899494936611667, 23.414213562373096, 5.242640687119286, 36.31370849898476, 33.65685424949238, 31.82842712474619, 11.0, 23.142135623730955, 24.656854249492383, 17.899494936611667, 17.72792206135786, 14.071067811865476, 25.899494936611667, 12.071067811865477, 2.0, 1.4142135623730951, 13.242640687119286]",656.9432175380074,4676.0,-1.0,1237.7686723470688,0.03835353453872638,26.073216250519984,"[22.985281229019165, 8.5, 20.227921843528748, 19.985281229019165, 5.5, 26.813708305358887, 47.926406145095825, 40.778174459934235, 7.70710676908493, 6.914213538169861, 10.742640614509583, 14.91421353816986, 17.535533845424652]",19.271575501331917,47.926406145095825,1,2.3464566929133857,r03c04f06p01-ch2sk1fk1fl1.tiff
20,8,5,3,"[18.313708498984763, 13.485281374238571, 15.242640687119287, 49.970562748477136, 17.82842712474619]",114.84062043356596,1265.0,1.5571028295913307,208.75230646133423,0.3647857160759617,2.7413354085162793,"[47.2634556889534, 10.363960921764374, 15.399494767189026]",24.3423037926356,47.2634556889534,1,1.2653061224489797,r03c04f06p01-ch2sk1fk1fl1.tiff
21,11,7,4,"[20.071067811865476, 20.142135623730955, 93.49747468305826, 8.82842712474619, 9.242640687119286, 2.414213562373095, 179.92388155425132]",334.11984104714463,1784.0,1.4884651467660008,689.4528781175613,0.04716236078679241,21.203349096978307,"[6.7426406145095825, 6.121320307254791, 17.64213538169861, 16.949747383594513]",11.863960921764374,17.64213538169861,0,3.4722222222222223,r03c04f06p01-ch2sk1fk1fl1.tiff
1,2,1,0,[11.071067811865477],11.071067811865477,85.0,0.0,35.3137081861496,0.8565291384481112,1.1675026045369972,[],0.0,0.0,1,1.75,r02c05f01p01-ch2sk1fk1fl1.tiff
2,22,15,3,"[7.65685424949238, 9.656854249492381, 55.727922061357845, 5.0, 73.21320343559641, 19.82842712474619, 44.04163056034261, 8.414213562373096, 47.31370849898477, 2.0, 1.4142135623730951, 5.82842712474619, 2.0, 1.4142135623730951, 1.0]",284.50966799187813,1982.0,-1.0,629.1858522891998,0.06291520512888861,15.894408958079238,"[16.156854152679443, 40.71320307254791, 52.81370830535889]",36.56125517686208,52.81370830535889,1,1.0458715596330275,r02c05f01p01-ch2sk1fk1fl1.tiff
3,0,0,0,[],0.0,117.0,0.0,39.79898953437805,0.9282215225833601,1.0773290380262581,[],0.0,0.0,0,1.1666666666666667,r02c05f01p01-ch2sk1fk1fl1.tiff
4,5,3,1,"[11.242640687119286, 12.242640687119286, 13.656854249492381]",37.14213562373095,238.0,1.066667192084786,82.32590079307556,0.4412795873083855,2.2661369996730807,[9.742640614509583],9.742640614509583,9.742640614509583,1,1.105263157894737,r02c05f01p01-ch2sk1fk1fl1.tiff
5,0,0,0,[],0.0,3.0,0.0,3.414213538169861,3.2340725525683256,0.30920765806748957,[],0.0,0.0,1,1.0,r02c05f01p01-ch2sk1fk1fl1.tiff
6,12,9,2,"[20.313708498984763, 1.4142135623730951, 2.0, 18.48528137423857, 2.0, 7.414213562373095, 1.4142135623730951, 2.414213562373095, 7.82842712474619]",63.284271247461895,406.0,1.155472839472024,156.85281217098236,0.2073725550625676,4.822238891247128,"[9.035533845424652, 38.00609630346298]",23.520815074443817,38.00609630346298,0,1.375,r02c05f01p01-ch2sk1fk1fl1.tiff
7,24,18,5,"[2.0, 14.656854249492381, 1.4142135623730951, 1.0, 5.82842712474619, 12.65685424949238, 7.82842712474619, 9.65685424949238, 2.0, 1.4142135623730951, 20.313708498984763, 2.0, 1.0, 1.4142135623730951, 5.656854249492381, 6.0, 13.656854249492381, 247.7645019878175]",356.2619766708758,2945.0,1.5514198979609797,724.080295085907,0.0705865093068805,14.16701307118645,"[10.949747383594513, 5.035533845424652, 5.328427076339722, 9.328427076339722, 15.156854152679443]",9.15979790687561,15.156854152679443,1,2.1779661016949152,r02c05f01p01-ch2sk1fk1fl1.tiff
8,5,3,2,"[10.242640687119286, 67.14213562373094, 6.82842712474619]",84.21320343559641,698.0,1.3210950339296124,187.5391036272049,0.2493914813343845,4.009760055353288,"[64.64213538169861, 7.535533845424652]",36.08883461356163,64.64213538169861,1,3.4545454545454546,r02c05f01p01-ch2sk1fk1fl1.tiff
9,17,11,6,"[20.899494936611667, 13.242640687119286, 1.4142135623730951, 8.82842712474619, 25.55634918610405, 20.313708498984763, 62.14213562373093, 16.414213562373096, 91.98275605729683, 7.82842712474619, 4.414213562373095]",273.03657992645924,2292.0,1.472931338048606,572.7838320732117,0.08778958094510411,11.390873372835804,"[5.121320307254791, 13.91421353816986, 17.399494767189026, 5.914213538169861, 10.535533845424652, 17.778174459934235]",11.777158409357071,17.778174459934235,1,1.3130434782608695,r02c05f01p01-ch2sk1fk1fl1.tiff
10,16,11,1,"[27.656854249492383, 19.656854249492383, 9.82842712474619, 1.4142135623730951, 2.0, 1.4142135623730951, 8.65685424949238, 2.0, 1.4142135623730951, 8.414213562373096, 10.65685424949238]",93.11269837220809,562.0,1.259740687458003,218.99494755268097,0.14725769184647275,6.790816747573196,[24.949747383594513],24.949747383594513,24.949747383594513,0,1.8333333333333333,r02c05f01p01-ch2sk1fk1fl1.tiff
